N,Triton (ms),PyTorch Vec (ms),PyTorch Non-Vec (ms),Speedup vs Vec,Speedup vs Non-Vec
128,14.34,19.74,5420.19,1.38x,378.08x
256,14.94,23.46,10894.40,1.57x,729.01x
384,15.07,27.23,16265.38,1.81x,1079.18x
512,15.20,34.03,21751.98,2.24x,1431.05x
640,15.78,38.88,27300.06,2.46x,1730.48x
768,16.22,44.51,32478.21,2.74x,2001.86x
896,17.09,50.78,37960.72,2.97x,2221.48x
1024,18.05,58.43,44454.75,3.24x,2463.14x
1152,18.82,65.38,48619.93,3.47x,2583.97x
1280,19.90,69.95,55923.39,3.51x,2809.66x
1408,20.99,78.02,64723.75,3.72x,3083.26x
1536,21.25,84.16,64489.89,3.96x,3035.10x
1664,22.18,88.74,70329.06,4.00x,3171.40x
1792,22.69,95.33,75543.20,4.20x,3329.65x
1920,24.00,103.58,81044.77,4.32x,3376.87x
2048,24.80,105.54,86625.15,4.26x,3492.95x
