N,PyTorch (ms),Triton LSEMM (ms),Triton LSEMMO (ms),Speedup LSEMM,Speedup LSEMMO
128,56.32,58.37,58.37,0.96x,0.96x
256,97.28,65.54,64.51,1.48x,1.51x
384,103.94,69.63,71.17,1.49x,1.46x
512,131.07,75.78,75.78,1.73x,1.73x
640,169.98,87.04,87.04,1.95x,1.95x
768,192.51,93.18,94.21,2.07x,2.04x
896,228.35,102.40,104.45,2.23x,2.19x
1024,245.76,109.57,112.64,2.24x,2.18x
1152,274.43,118.78,120.83,2.31x,2.27x
1280,308.22,131.07,133.12,2.35x,2.32x
1408,338.94,141.31,144.38,2.40x,2.35x
1536,353.79,149.50,151.55,2.37x,2.33x
1664,437.25,156.67,161.79,2.79x,2.70x
1792,433.15,169.98,174.08,2.55x,2.49x
1920,442.37,179.20,182.27,2.47x,2.43x
2048,500.74,187.39,192.51,2.67x,2.60x
